period,gdp
1960-01-01,22.3665202665047
1960-04-01,22.4570762394661
1960-07-01,22.638188185389
1960-10-01,22.9098561042734
1961-01-01,23.2720799961191
1961-04-01,23.5470030556198
1961-07-01,23.7346252827747
1961-10-01,23.8349466775845
1962-01-01,23.8479672400486
1962-04-01,23.9873662174317
1962-07-01,24.2531436097346
1962-10-01,24.6452994169559
1963-01-01,25.1638336390962
1963-04-01,25.6073555252728
1963-07-01,25.9758650754851
1963-10-01,26.2693622897329
1964-01-01,26.4878471680169
1964-04-01,26.7641830892735
1964-07-01,27.0983700535034
1964-10-01,27.4904080607065
1965-01-01,27.9402971108828
1965-04-01,28.4491408373047
1965-07-01,29.0169392399727
1965-10-01,29.6436923188869
1966-01-01,30.329400074046
1966-04-01,30.6660579535027
1966-07-01,30.6536659572558
1966-10-01,30.2922240853053
1967-01-01,29.5817323376524
1967-04-01,29.0468610585085
1967-07-01,28.6876102478741
1967-10-01,28.5039799057486
1968-01-01,28.4959700321333
1968-04-01,28.7355213093835
1968-07-01,29.2226337374992
1968-10-01,29.957307316481
1969-01-01,30.9395420463283
1969-04-01,31.6175424061987
1969-07-01,31.9913083960923
1969-10-01,32.0608400160089
1970-01-01,31.8261372659486
1970-04-01,31.7529024161734
1970-07-01,31.8411354666833
1970-10-01,32.0908364174781
1971-01-01,32.5020052685575
1971-04-01,32.8994594662711
1971-07-01,33.2831990106179
1971-10-01,33.6532239015978
1972-01-01,34.0095341392114
1972-04-01,34.4594852769998
1972-07-01,35.0030773149623
1972-10-01,35.6403102530991
1973-01-01,36.3711840914106
1973-04-01,37.1114162172017
1973-07-01,37.8610066304717
1973-10-01,38.619955331222
1974-01-01,39.3882623194518
1974-04-01,39.8354340290321
1974-07-01,39.9614704599622
1974-10-01,39.7663716122421
1975-01-01,39.2501374858725
1975-04-01,38.9634890187381
1975-07-01,38.9064262108376
1975-10-01,39.0789490621716
1976-01-01,39.4810575727402
1976-04-01,39.6144576743296
1976-07-01,39.47914936694
1976-10-01,39.0751326505706
1977-01-01,38.4024075252228
1977-04-01,37.9167713273381
1977-07-01,37.6182240569172
1977-10-01,37.5067657139594
1978-01-01,37.5823962984655
1978-04-01,37.6292089512494
1978-07-01,37.6472036723119
1978-10-01,37.6363804616523
1979-01-01,37.5967393192713
1979-04-01,37.5817691175878
1979-07-01,37.5914698566026
1979-10-01,37.6258415363148
1980-01-01,37.6848841567253
1980-04-01,37.8087752707135
1980-07-01,37.9975148782794
1980-10-01,38.2511029794236
1981-01-01,38.569539574145
1981-04-01,38.9369443698951
1981-07-01,39.3533173666734
1981-10-01,39.8186585644799
1982-01-01,40.3329679633139
1982-04-01,40.7500571871102
1982-07-01,41.0699262358677
1982-10-01,41.2925751095874
1983-01-01,40.3467358682102
1983-04-01,42.0033223118629
1983-07-01,42.6336586630641
1983-10-01,42.9384080560003
1984-01-01,46.3453499872862
1984-04-01,44.8919298055908
1984-07-01,45.1914698071947
1984-10-01,46.082275725008
1985-01-01,46.7855435548606
1985-04-01,46.3349312046217
1985-07-01,45.6577103314303
1985-10-01,46.5849819885693
1986-01-01,44.0480084097677
1986-04-01,47.5174630370405
1986-07-01,49.5960101786049
1986-10-01,45.8113873757314
1987-01-01,45.8869235500489
1987-04-01,47.1085258174596
1987-07-01,47.6190461680192
1987-10-01,46.9183830338327
1988-01-01,47.5769517520503
1988-04-01,47.523697944403
1988-07-01,48.3739837398374
1988-10-01,48.6242766357794
1989-01-01,49.3148010082721
1989-04-01,49.5597685234494
1989-07-01,47.5432243405403
1989-10-01,48.5958746050343
1990-01-01,49.1000106507615
1990-04-01,48.8781197855647
1990-07-01,48.9615507508787
1990-10-01,50.129584265275
1991-01-01,48.1804949053857
1991-04-01,47.7597898249725
1991-07-01,48.3917350090531
1991-10-01,48.304753789896
1992-01-01,48.6526786665246
1992-04-01,49.1426136968793
1992-07-01,48.1911456669152
1992-10-01,48.6544537934462
1993-01-01,49.7000035502538
1993-04-01,50.1526609152554
1993-07-01,51.5851883409664
1993-10-01,52.4514502786949
1994-01-01,54.0863421734654
1994-04-01,54.2958071502112
1994-07-01,54.3827883693684
1994-10-01,54.8975751766251
1995-01-01,55.6573294990592
1995-04-01,56.647850321298
1995-07-01,56.8093868711613
1995-10-01,57.4626335783008
1996-01-01,57.7786061703412
1996-04-01,58.5401356196968
1996-07-01,59.2430858806405
1996-10-01,59.4738523804452
1997-01-01,59.1170518692086
1997-04-01,60.5904072141158
1997-07-01,61.7442397131395
1997-10-01,60.7341924947634
1998-01-01,60.6631874179004
1998-04-01,60.3969183796641
1998-07-01,60.7785706678027
1998-10-01,62.2075478396705
1999-01-01,62.8004402314766
1999-04-01,63.2921503887528
1999-07-01,64.2755707033053
1999-10-01,64.9820712180921
2000-01-01,66.6063123513331
2000-04-01,66.0293961018213
2000-07-01,66.2530620939397
2000-10-01,66.7731742819612
2001-01-01,66.2104590478219
2001-04-01,68.3849895267512
2001-07-01,68.2429793730252
2001-10-01,69.1447438491852
2002-01-01,69.9861540100117
2002-04-01,70.5630702595236
2002-07-01,71.9352433699009
2002-10-01,73.4955799339653
2003-01-01,73.701494656868
2003-04-01,74.010366741222
2003-07-01,74.8908296943231
2003-10-01,76.0588632087194
2004-01-01,77.9422728725104
2004-04-01,77.9653495224909
2004-07-01,78.0328043455107
2004-10-01,78.2458195760997
2005-01-01,78.3878297298257
2005-04-01,80.3688713743032
2005-07-01,80.5250825434018
2005-10-01,80.6209393971669
2006-01-01,81.3984449888167
2006-04-01,81.1161998082863
2006-07-01,82.6534597223701
