period,gdp
2013-07-01,93.1480100827209
2013-10-01,93.6627968899776
2014-01-01,94.6728441083537
2014-04-01,95.1237263464338
2014-07-01,96.2988603685164
2014-10-01,97.6000284020307
2015-01-01,98.2532751091703
2015-04-01,99.1443888238009
2015-07-01,100.697624880179
2015-10-01,101.851457379203
2016-01-01,102.724819824617
2016-04-01,103.882202577484
2016-07-01,104.567401569212
2016-10-01,104.828345226684
2017-01-01,106.227145240885
2017-04-01,107.611744239713
2017-07-01,108.706997550325
2017-10-01,110.139524976036
2018-01-01,111.229452905883
2018-04-01,112.60162601626
2018-07-01,112.830617389143
2018-10-01,114.64124684915
2019-01-01,115.248340256328
2019-04-01,116.015195086449
2019-07-01,117.266659566159
2019-10-01,117.758369723435
2020-01-01,116.409273263038
2020-04-01,105.648453864451
2020-07-01,120.426385486562
2020-10-01,119.482017964284
2021-01-01,121.072531686016
2021-04-01,123.990840345085
2021-07-01,118.516348918948
2021-10-01,121.566016970213
